I0716 21:34:11.900712 139718869898752 run.py:722] (val) algo matrix_chain_order step 0: {'s': 0.283447265625, 'score': 0.283447265625, 'examples_seen': 128, 'step': 0, 'algorithm': 'matrix_chain_order'}
I0716 21:35:58.339914 139718869898752 run.py:722] (val) algo matrix_chain_order step 50: {'s': 0.58984375, 'score': 0.58984375, 'examples_seen': 4218, 'step': 50, 'algorithm': 'matrix_chain_order'}
I0716 21:36:02.354007 139718869898752 run.py:722] (val) algo matrix_chain_order step 100: {'s': 0.6688232421875, 'score': 0.6688232421875, 'examples_seen': 8294, 'step': 100, 'algorithm': 'matrix_chain_order'}
I0716 21:36:06.379827 139718869898752 run.py:722] (val) algo matrix_chain_order step 150: {'s': 0.72930908203125, 'score': 0.72930908203125, 'examples_seen': 12355, 'step': 150, 'algorithm': 'matrix_chain_order'}
I0716 21:36:10.303949 139718869898752 run.py:722] (val) algo matrix_chain_order step 200: {'s': 0.82049560546875, 'score': 0.82049560546875, 'examples_seen': 16408, 'step': 200, 'algorithm': 'matrix_chain_order'}
I0716 21:36:14.542869 139718869898752 run.py:722] (val) algo matrix_chain_order step 250: {'s': 0.870361328125, 'score': 0.870361328125, 'examples_seen': 20456, 'step': 250, 'algorithm': 'matrix_chain_order'}
I0716 21:36:18.460668 139718869898752 run.py:722] (val) algo matrix_chain_order step 300: {'s': 0.88433837890625, 'score': 0.88433837890625, 'examples_seen': 24737, 'step': 300, 'algorithm': 'matrix_chain_order'}
I0716 21:36:22.514770 139718869898752 run.py:722] (val) algo matrix_chain_order step 350: {'s': 0.86187744140625, 'score': 0.86187744140625, 'examples_seen': 28894, 'step': 350, 'algorithm': 'matrix_chain_order'}
I0716 21:36:26.458405 139718869898752 run.py:722] (val) algo matrix_chain_order step 400: {'s': 0.848388671875, 'score': 0.848388671875, 'examples_seen': 32991, 'step': 400, 'algorithm': 'matrix_chain_order'}
I0716 21:36:30.265601 139718869898752 run.py:722] (val) algo matrix_chain_order step 450: {'s': 0.9090576171875, 'score': 0.9090576171875, 'examples_seen': 37073, 'step': 450, 'algorithm': 'matrix_chain_order'}
I0716 21:36:34.227199 139718869898752 run.py:722] (val) algo matrix_chain_order step 500: {'s': 0.9024658203125, 'score': 0.9024658203125, 'examples_seen': 41130, 'step': 500, 'algorithm': 'matrix_chain_order'}
I0716 21:36:38.280853 139718869898752 run.py:722] (val) algo matrix_chain_order step 550: {'s': 0.92913818359375, 'score': 0.92913818359375, 'examples_seen': 45165, 'step': 550, 'algorithm': 'matrix_chain_order'}
I0716 21:36:42.268943 139718869898752 run.py:722] (val) algo matrix_chain_order step 600: {'s': 0.92803955078125, 'score': 0.92803955078125, 'examples_seen': 49209, 'step': 600, 'algorithm': 'matrix_chain_order'}
I0716 21:36:45.939722 139718869898752 run.py:722] (val) algo matrix_chain_order step 650: {'s': 0.923583984375, 'score': 0.923583984375, 'examples_seen': 53487, 'step': 650, 'algorithm': 'matrix_chain_order'}
I0716 21:36:49.721944 139718869898752 run.py:722] (val) algo matrix_chain_order step 700: {'s': 0.9200439453125, 'score': 0.9200439453125, 'examples_seen': 57638, 'step': 700, 'algorithm': 'matrix_chain_order'}
I0716 21:36:53.572187 139718869898752 run.py:722] (val) algo matrix_chain_order step 750: {'s': 0.94244384765625, 'score': 0.94244384765625, 'examples_seen': 61733, 'step': 750, 'algorithm': 'matrix_chain_order'}
I0716 21:36:57.321348 139718869898752 run.py:722] (val) algo matrix_chain_order step 800: {'s': 0.9105224609375, 'score': 0.9105224609375, 'examples_seen': 65801, 'step': 800, 'algorithm': 'matrix_chain_order'}
I0716 21:37:01.108123 139718869898752 run.py:722] (val) algo matrix_chain_order step 850: {'s': 0.9422607421875, 'score': 0.9422607421875, 'examples_seen': 69859, 'step': 850, 'algorithm': 'matrix_chain_order'}
I0716 21:37:05.112777 139718869898752 run.py:722] (val) algo matrix_chain_order step 900: {'s': 0.94744873046875, 'score': 0.94744873046875, 'examples_seen': 73922, 'step': 900, 'algorithm': 'matrix_chain_order'}
I0716 21:37:09.292483 139718869898752 run.py:722] (val) algo matrix_chain_order step 950: {'s': 0.9456787109375, 'score': 0.9456787109375, 'examples_seen': 77968, 'step': 950, 'algorithm': 'matrix_chain_order'}
I0716 21:37:13.015922 139718869898752 run.py:722] (val) algo matrix_chain_order step 1000: {'s': 0.97137451171875, 'score': 0.97137451171875, 'examples_seen': 82246, 'step': 1000, 'algorithm': 'matrix_chain_order'}
I0716 21:37:16.758006 139718869898752 run.py:722] (val) algo matrix_chain_order step 1050: {'s': 0.96624755859375, 'score': 0.96624755859375, 'examples_seen': 86410, 'step': 1050, 'algorithm': 'matrix_chain_order'}
I0716 21:37:20.582315 139718869898752 run.py:722] (val) algo matrix_chain_order step 1100: {'s': 0.9505615234375, 'score': 0.9505615234375, 'examples_seen': 90511, 'step': 1100, 'algorithm': 'matrix_chain_order'}
I0716 21:37:24.422989 139718869898752 run.py:722] (val) algo matrix_chain_order step 1150: {'s': 0.94512939453125, 'score': 0.94512939453125, 'examples_seen': 94587, 'step': 1150, 'algorithm': 'matrix_chain_order'}
